"rental_id","rental_date","payment_id","amount","country_id","country","customer_id","full_name","film_id"
15217,"2005-08-22 16:58:31",23553,0.99,23,"China",90,"Ruby Washington",18
5343,"2005-07-09 17:23:43",27620,3.99,23,"China",485,"Clyde Tobias",18
10895,"2005-08-02 01:16:59",23419,0.99,15,"Brazil",77,"Jane Bennett",19
12268,"2005-08-18 04:26:54",23067,0.99,15,"Brazil",39,"Debra Nelson",19
5072,"2005-07-09 05:01:58",31772,3.99,15,"Brazil",254,"Maxine Silva",19
9080,"2005-07-30 08:02:39",25249,1.99,103,"United States",276,"Brandy Graves",19
10509,"2005-08-01 11:25:28",21769,3.99,103,"United States",504,"Nathaniel Adam",19
3474,"2005-07-05 22:59:53",28840,0.99,23,"China",594,"Eduardo Hiatt",19
9259,"2005-07-30 14:37:44",30566,1.99,23,"China",138,"Hazel Warren",19
11727,"2005-08-17 08:12:20",22737,0.99,103,"United States",6,"Jennifer Davis",19
7946,"2005-07-28 13:01:22",29997,6.99,23,"China",90,"Ruby Washington",20
15740,"2005-08-23 12:07:51",24800,4.99,15,"Brazil",229,"Tamara Nguyen",20
8963,"2005-07-30 03:46:26",28286,9.99,15,"Brazil",544,"Cody Nolen",20
11857,"2005-08-17 13:48:30",24069,4.99,103,"United States",146,"Jamie Rice",20
9374,"2005-07-30 19:10:03",25576,8.99,23,"China",302,"Michael Silverman",21
6153,"2005-07-11 09:31:04",29522,9.99,15,"Brazil",47,"Frances Parker",21
4967,"2005-07-08 23:48:03",25988,3.99,23,"China",339,"Walter Perryman",22
1987,"2005-06-17 10:40:36",18045,2.99,103,"United States",479,"Zachary Hite",22
10317,"2005-08-01 04:35:34",22285,2.99,103,"United States",561,"Ian Still",22
1364,"2005-06-15 14:05:32",17740,0.99,103,"United States",400,"Bryan Hardison",23
7837,"2005-07-28 08:58:32",26408,0.99,15,"Brazil",374,"Jeremy Hurtado",23
13665,"2005-08-20 08:19:20",19760,5.99,103,"United States",291,"Toni Holt",23
10866,"2005-08-02 00:22:49",21018,2.99,23,"China",424,"Kyle Spurlock",23
1854,"2005-06-17 00:43:57",18654,3.99,23,"China",37,"Pamela Baker",23
3021,"2005-06-20 11:13:01",18747,4.99,103,"United States",62,"Joan Cooper",24
9438,"2005-07-30 21:36:15",29152,4.99,103,"United States",14,"Betty White",24
2985,"2005-06-20 08:45:08",19099,2.99,23,"China",154,"Michele Grant",24
13387,"2005-08-19 21:46:10",21774,2.99,103,"United States",504,"Nathaniel Adam",24
1705,"2005-06-16 13:59:42",18337,2.99,23,"China",564,"Bob Pfeiffer",24
15763,"2005-08-23 13:02:59",24211,2.99,103,"United States",158,"Veronica Stone",25
5696,"2005-07-10 09:44:32",30064,2.99,103,"United States",96,"Diana Alexander",25
5756,"2005-07-10 12:39:28",31080,0.99,15,"Brazil",183,"Ida Andrews",26
12341,"2005-08-18 07:09:27",24167,0.99,23,"China",154,"Michele Grant",26
2521,"2005-06-19 00:41:08",18861,0.99,15,"Brazil",92,"Tina Simmons",26
10772,"2005-08-01 20:51:10",21601,6.99,23,"China",485,"Clyde Tobias",26
8838,"2005-07-29 22:52:23",28338,2.99,23,"China",550,"Guy Brownlee",26
11854,"2005-08-17 13:42:52",19960,2.99,23,"China",313,"Donald Mahon",27
10466,"2005-08-01 09:45:26",22691,0.99,103,"United States",2,"Patricia Johnson",27
4739,"2005-07-08 13:25:57",31209,4.99,23,"China",197,"Sue Peters",28
6429,"2005-07-12 00:02:50",26016,8.99,15,"Brazil",342,"Harold Martino",28
5785,"2005-07-10 14:06:03",31301,4.99,23,"China",211,"Stacey Montgomery",29
1710,"2005-06-16 14:11:24",18796,4.99,15,"Brazil",77,"Jane Bennett",30
3860,"2005-07-06 17:20:24",27948,2.99,23,"China",514,"Franklin Troutman",30
11236,"2005-08-02 13:17:21",20985,5.99,103,"United States",420,"Jacob Lance",30
5821,"2005-07-10 16:07:16",25567,4.99,23,"China",302,"Michael Silverman",31
14145,"2005-08-21 02:11:38",19972,4.99,15,"Brazil",314,"George Linton",31
5988,"2005-07-11 00:55:38",30789,4.99,103,"United States",158,"Veronica Stone",31
6981,"2005-07-27 00:51:38",26252,4.99,15,"Brazil",362,"Nicholas Barfield",32
4823,"2005-07-08 17:28:54",28957,4.99,15,"Brazil",206,"Terri Vasquez",32
5344,"2005-07-09 17:27:05",31211,0.99,23,"China",197,"Sue Peters",34
15324,"2005-08-22 20:23:13",23581,5.99,23,"China",93,"Phyllis Foster",35
5754,"2005-07-10 12:32:43",25425,2.99,103,"United States",291,"Toni Holt",35
10051,"2005-07-31 19:14:20",29815,3.99,15,"Brazil",74,"Denise Kelly",35
5919,"2005-07-10 21:32:14",30029,2.99,15,"Brazil",92,"Tina Simmons",35
9111,"2005-07-30 09:05:44",31308,3.99,23,"China",211,"Stacey Montgomery",35
9830,"2005-07-31 11:59:05",30259,5.99,103,"United States",112,"Rosa Reynolds",37
2292,"2005-06-18 07:37:48",19006,2.99,15,"Brazil",130,"Charlotte Hunter",37
7359,"2005-07-27 14:51:04",31083,0.99,15,"Brazil",183,"Ida Andrews",39
13583,"2005-08-20 05:29:45",23394,1.99,15,"Brazil",74,"Denise Kelly",39
2371,"2005-06-18 14:35:29",19434,0.99,103,"United States",248,"Caroline Bowman",39
15904,"2005-08-23 17:32:19",23050,0.99,23,"China",37,"Pamela Baker",39
11373,"2005-08-02 18:14:12",19520,0.99,23,"China",267,"Margie Wade",40
11779,"2005-08-17 10:31:58",23851,3.99,15,"Brazil",126,"Ellen Simpson",40
11568,"2005-08-17 01:30:01",20212,0.99,15,"Brazil",342,"Harold Martino",40
2800,"2005-06-19 19:15:56",19067,0.99,103,"United States",146,"Jamie Rice",40
15263,"2005-08-22 18:27:33",20046,4.99,23,"China",324,"Gary Coy",40
8402,"2005-07-29 06:25:45",29526,6.99,15,"Brazil",47,"Frances Parker",42
11561,"2005-08-17 01:23:09",24112,2.99,103,"United States",149,"Valerie Black",43
4154,"2005-07-07 08:58:23",28844,3.99,23,"China",594,"Eduardo Hiatt",43
9528,"2005-07-31 01:05:04",31651,3.99,23,"China",241,"Heidi Larson",43
11811,"2005-08-17 11:59:18",23898,2.99,15,"Brazil",130,"Charlotte Hunter",43
2582,"2005-06-19 04:56:27",19513,6.99,23,"China",267,"Margie Wade",45
7636,"2005-07-28 01:08:36",29574,5.99,103,"United States",51,"Alice Stewart",45
11311,"2005-08-02 15:53:48",24568,4.99,23,"China",197,"Sue Peters",45
4052,"2005-07-07 03:38:22",27151,5.99,23,"China",442,"Leroy Bustamante",45
9756,"2005-07-31 09:25:00",26679,4.99,103,"United States",400,"Bryan Hardison",46
13550,"2005-08-20 03:58:51",22663,9.99,15,"Brazil",206,"Terri Vasquez",46
3525,"2005-07-06 01:02:39",29567,9.99,103,"United States",51,"Alice Stewart",46
8068,"2005-07-28 17:22:28",31347,4.99,15,"Brazil",216,"Natalie Meyer",46
3449,"2005-06-21 21:01:27",19197,5.99,103,"United States",181,"Ana Bradley",47
9546,"2005-07-31 01:47:40",29685,4.99,103,"United States",63,"Ashley Richardson",47
2739,"2005-06-19 15:58:38",19300,9.99,103,"United States",212,"Wilma Richards",48
13263,"2005-08-19 17:26:55",22662,10.99,15,"Brazil",206,"Terri Vasquez",48
2567,"2005-06-19 04:04:46",18098,2.99,23,"China",496,"Tyler Wren",49
15834,"2005-08-23 15:23:50",24267,5.99,23,"China",165,"Lorraine Stephens",49
9038,"2005-07-30 06:23:35",27950,3.99,23,"China",514,"Franklin Troutman",49
11883,"2005-08-17 14:41:28",22195,2.99,15,"Brazil",551,"Clayton Barbee",49
3398,"2005-06-21 15:34:38",18466,4.99,23,"China",599,"Austin Cintron",49
14408,"2005-08-21 10:47:24",22574,5.99,103,"United States",593,"Rene Mcalister",50
8723,"2005-07-29 18:03:47",29432,7.99,15,"Brazil",39,"Debra Nelson",50
2040,"2005-06-17 14:18:37",19480,2.99,23,"China",260,"Christy Vargas",51
6796,"2005-07-12 16:44:16",25427,2.99,103,"United States",291,"Toni Holt",51
6863,"2005-07-12 19:58:34",27606,6.99,23,"China",484,"Roberto Vu",51
11469,"2005-08-02 21:48:09",23421,2.99,15,"Brazil",77,"Jane Bennett",51
5047,"2005-07-09 03:44:15",25202,3.99,23,"China",272,"Kay Caldwell",51
9829,"2005-07-31 11:58:38",27070,4.99,23,"China",435,"Ricky Shelby",51
2641,"2005-06-19 09:38:33",17633,2.99,15,"Brazil",374,"Jeremy Hurtado",51
15451,"2005-08-23 00:56:27",21866,2.99,23,"China",514,"Franklin Troutman",51
10614,"2005-08-01 14:57:00",22034,6.99,23,"China",533,"Jessie Milam",51
11963,"2005-08-17 17:35:47",24647,3.99,23,"China",211,"Stacey Montgomery",51
2234,"2005-06-18 04:01:28",19202,0.99,103,"United States",182,"Renee Lane",52
7280,"2005-07-27 11:50:52",26020,2.99,15,"Brazil",342,"Harold Martino",53
14777,"2005-08-21 23:55:50",20674,2.99,23,"China",389,"Alan Kahn",54
16006,"2005-08-23 21:01:09",22042,0.99,23,"China",533,"Jessie Milam",54
9418,"2005-07-30 21:00:52",30911,4.99,23,"China",168,"Regina Berry",54
15920,"2005-08-23 18:05:10",24666,2.99,103,"United States",212,"Wilma Richards",55
7428,"2005-07-27 17:21:52",29996,5.99,23,"China",90,"Ruby Washington",55
10683,"2005-08-01 17:33:03",24953,2.99,15,"Brazil",246,"Marian Mendoza",55
11296,"2005-08-02 15:15:27",24166,5.99,23,"China",154,"Michele Grant",55
8192,"2005-07-28 22:49:11",28356,2.99,23,"China",552,"Hugh Waldrop",57
15441,"2006-02-14 15:16:03",31959,2.99,23,"China",422,"Melvin Ellington",57
11392,"2005-08-02 18:41:11",24067,5.99,103,"United States",146,"Jamie Rice",58
5399,"2005-07-09 19:52:44",29733,2.99,23,"China",67,"Kelly Torres",58
12274,"2005-08-18 04:41:47",23140,7.99,15,"Brazil",47,"Frances Parker",59
10024,"2005-07-31 18:26:36",30461,7.99,23,"China",129,"Carrie Porter",59
15739,"2005-08-23 11:56:22",23399,4.99,15,"Brazil",74,"Denise Kelly",59
9868,"2005-07-31 13:20:08",26451,2.99,23,"China",378,"Eugene Culpepper",59
14247,"2005-08-21 05:35:17",19864,3.99,23,"China",302,"Michael Silverman",59
11491,"2005-08-02 22:44:50",19910,7.99,15,"Brazil",307,"Joseph Joy",59
3668,"2005-07-06 08:36:48",27947,5.99,23,"China",514,"Franklin Troutman",60
1583,"2005-06-16 04:44:23",18652,4.99,23,"China",37,"Pamela Baker",60
9119,"2005-07-30 09:25:56",25609,4.99,103,"United States",305,"Richard Mccrary",61
15687,"2005-08-23 09:46:33",23720,8.99,103,"United States",112,"Rosa Reynolds",61
6939,"2005-07-26 23:17:51",26157,5.99,15,"Brazil",354,"Justin Ngo",62
10395,"2005-08-01 07:08:22",23883,2.99,23,"China",129,"Carrie Porter",62
8964,"2005-07-30 03:49:35",26950,1.99,23,"China",424,"Kyle Spurlock",63
8676,"2005-07-29 15:59:06",28178,1.99,23,"China",533,"Jessie Milam",63
6168,"2005-07-11 10:21:38",29846,0.99,15,"Brazil",77,"Jane Bennett",64
7832,"2005-07-28 08:46:11",30033,1.99,15,"Brazil",92,"Tina Simmons",64
1373,"2005-06-15 14:48:04",18707,1.99,103,"United States",51,"Alice Stewart",64
12846,"2005-08-19 02:03:26",19891,0.99,103,"United States",305,"Richard Mccrary",64
7987,"2005-07-28 14:36:52",27171,9.99,15,"Brazil",443,"Francisco Skidmore",65
14967,"2005-08-22 06:46:03",23330,4.99,23,"China",67,"Kelly Torres",65
7470,"2005-07-27 19:01:03",28479,10.99,23,"China",564,"Bob Pfeiffer",65
9439,"2005-07-30 21:38:12",27554,8.99,103,"United States",479,"Zachary Hite",65
13155,"2005-08-19 13:10:23",21171,7.99,23,"China",442,"Leroy Bustamante",65
4862,"2005-07-08 19:02:46",25424,3.99,103,"United States",291,"Toni Holt",66
8022,"2005-07-28 15:48:56",25705,6.99,15,"Brazil",314,"George Linton",67
10020,"2005-07-31 18:21:08",28095,4.99,103,"United States",526,"Karl Seal",68
13861,"2005-08-20 14:56:53",24168,4.99,23,"China",154,"Michele Grant",68
4157,"2005-07-07 09:04:26",31078,2.99,15,"Brazil",183,"Ida Andrews",69
14687,"2005-08-21 20:32:16",22190,4.99,23,"China",550,"Guy Brownlee",69
5668,"2005-07-10 08:11:05",31299,5.99,23,"China",211,"Stacey Montgomery",69
13104,"2005-08-19 11:06:06",22557,2.99,15,"Brazil",591,"Kent Arsenault",69
3339,"2005-06-21 10:37:11",18214,6.99,103,"United States",526,"Karl Seal",70
14201,"2005-08-21 03:51:34",21048,6.99,15,"Brazil",427,"Jesus Mccartney",70
6902,"2005-07-12 21:57:16",27624,4.99,23,"China",485,"Clyde Tobias",70
11524,"2005-08-17 00:10:55",22035,7.99,23,"China",533,"Jessie Milam",71
6991,"2005-07-27 01:03:06",25632,10.99,15,"Brazil",307,"Joseph Joy",71
15229,"2005-08-22 17:30:25",23294,2.99,103,"United States",63,"Ashley Richardson",72
9631,"2005-07-31 05:02:00",28871,2.99,23,"China",595,"Terrence Gunderson",72
11371,"2005-08-02 18:07:36",22287,2.99,103,"United States",561,"Ian Still",72
10327,"2005-08-01 04:55:35",20602,3.99,103,"United States",382,"Victor Barkley",73
11484,"2005-08-02 22:28:23",24263,2.99,23,"China",165,"Lorraine Stephens",73
12543,"2005-08-18 14:23:55",20041,2.99,23,"China",324,"Gary Coy",73
10342,"2005-08-01 05:11:11",23998,6.99,103,"United States",140,"Eva Ramos",73
11665,"2005-08-17 05:36:57",25017,6.99,15,"Brazil",254,"Maxine Silva",74
11111,"2005-08-02 08:21:27",20559,4.99,23,"China",378,"Eugene Culpepper",74
14807,"2005-08-22 00:57:43",23551,4.99,23,"China",90,"Ruby Washington",74
7207,"2005-07-27 09:13:26",29572,5.99,103,"United States",51,"Alice Stewart",74
6576,"2005-07-12 06:13:41",26251,4.99,15,"Brazil",362,"Nicholas Barfield",75
8495,"2005-07-29 09:05:06",29575,4.99,103,"United States",51,"Alice Stewart",76
15709,"2005-08-23 10:36:00",22667,4.99,15,"Brazil",206,"Terri Vasquez",77
6847,"2005-07-12 19:22:37",29682,8.99,103,"United States",63,"Ashley Richardson",77
10565,"2005-08-01 13:08:27",24262,4.99,23,"China",165,"Lorraine Stephens",77
9983,"2005-07-31 17:09:36",30460,7.99,23,"China",129,"Carrie Porter",77
10835,"2005-08-01 23:28:49",23544,4.99,23,"China",90,"Ruby Washington",78
2128,"2005-06-17 20:54:58",18502,2.99,103,"United States",2,"Patricia Johnson",78
10034,"2005-07-31 18:45:30",27164,2.99,23,"China",442,"Leroy Bustamante",78
12606,"2005-08-18 17:02:21",19608,1.99,103,"United States",275,"Carole Barnett",79
4395,"2005-07-07 21:13:22",28281,0.99,15,"Brazil",544,"Cody Nolen",79
4504,"2005-07-08 02:19:27",26922,0.99,23,"China",422,"Melvin Ellington",79
9684,"2005-07-31 06:48:33",28812,0.99,15,"Brazil",591,"Kent Arsenault",79
13182,"2006-02-14 15:16:03",31977,2.99,23,"China",496,"Tyler Wren",80
4426,"2005-07-07 22:28:32",31655,4.99,23,"China",242,"Glenda Frazier",80
11530,"2005-08-17 00:29:00",20772,2.99,103,"United States",400,"Bryan Hardison",80
8424,"2005-07-29 07:06:03",30565,3.99,23,"China",138,"Hazel Warren",80
13641,"2005-08-20 07:34:42",19682,2.99,23,"China",281,"Leona Obrien",80
7170,"2005-07-27 07:58:26",30587,4.99,103,"United States",140,"Eva Ramos",81
3512,"2005-07-06 00:43:06",25423,4.99,103,"United States",291,"Toni Holt",81
11612,"2005-08-17 03:48:51",21963,2.99,103,"United States",526,"Karl Seal",83
5591,"2005-07-10 04:25:03",26405,3.99,15,"Brazil",374,"Jeremy Hurtado",83
15725,"2005-08-23 11:25:00",22622,2.99,23,"China",599,"Austin Cintron",83
3962,"2005-07-06 22:13:45",25625,6.99,15,"Brazil",307,"Joseph Joy",84
11215,"2005-08-02 12:20:42",24567,4.99,23,"China",197,"Sue Peters",84
14213,"2005-08-21 04:30:47",21827,4.99,23,"China",511,"Chester Benner",84
2752,"2005-06-19 16:44:18",19084,0.99,103,"United States",149,"Valerie Black",85
14316,"2005-08-21 07:59:47",23301,0.99,23,"China",64,"Judith Cox",85
5751,"2005-07-10 12:25:11",27546,4.99,103,"United States",479,"Zachary Hite",86
8386,"2005-07-29 05:45:30",27066,5.99,23,"China",435,"Ricky Shelby",86
1620,"2005-06-16 07:21:30",18324,4.99,103,"United States",561,"Ian Still",86
5679,"2005-07-10 08:44:02",30558,4.99,23,"China",138,"Hazel Warren",86
13045,"2005-08-19 09:17:35",25023,4.99,15,"Brazil",254,"Maxine Silva",86
12415,"2005-08-18 09:54:01",21178,4.99,15,"Brazil",443,"Francisco Skidmore",86
11014,"2005-08-02 05:12:22",19541,4.99,103,"United States",269,"Cassandra Walters",86
15018,"2005-08-22 08:52:38",21776,4.99,103,"United States",504,"Nathaniel Adam",86
9112,"2005-07-30 09:06:31",29814,4.99,15,"Brazil",74,"Denise Kelly",88
5629,"2005-07-10 06:02:25",28299,0.99,23,"China",546,"Kelly Knott",89
14285,"2005-08-21 06:50:48",24979,0.99,23,"China",249,"Dora Medina",89
8672,"2005-07-29 15:49:48",27739,5.99,23,"China",495,"Charlie Bess",90
8843,"2005-07-29 23:04:25",25467,4.99,103,"United States",294,"Shelly Watts",90
7760,"2005-07-28 06:29:45",25634,3.99,15,"Brazil",307,"Joseph Joy",90
5137,"2005-07-09 08:00:34",30416,0.99,15,"Brazil",126,"Ellen Simpson",90
13160,"2005-08-19 13:21:04",21596,0.99,23,"China",484,"Roberto Vu",90
13723,"2005-08-20 10:05:30",23698,2.99,23,"China",110,"Tiffany Jordan",91
14695,"2005-08-21 20:46:47",22665,0.99,15,"Brazil",206,"Terri Vasquez",91
6438,"2005-07-12 00:23:01",31302,0.99,23,"China",211,"Stacey Montgomery",91
4269,"2005-07-07 14:38:33",27746,0.99,23,"China",496,"Tyler Wren",91
9526,"2005-07-31 01:02:22",26022,0.99,15,"Brazil",342,"Harold Martino",91
1477,"2005-06-15 21:11:18",18708,0.99,103,"United States",51,"Alice Stewart",91
7958,"2005-07-28 13:34:34",28836,4.99,103,"United States",593,"Rene Mcalister",92
12459,"2005-08-18 11:25:11",23068,4.99,15,"Brazil",39,"Debra Nelson",92
11295,"2005-08-02 15:10:06",23324,8.99,23,"China",67,"Kelly Torres",93
12199,"2005-08-18 02:09:23",23597,4.99,103,"United States",96,"Diana Alexander",93
9760,"2005-07-31 09:29:33",27924,4.99,23,"China",511,"Chester Benner",94
5945,"2005-07-10 22:52:42",26406,2.99,15,"Brazil",374,"Jeremy Hurtado",94
2084,"2005-06-17 17:17:19",18860,4.99,15,"Brazil",92,"Tina Simmons",95
13624,"2005-08-20 06:51:02",23291,8.99,103,"United States",63,"Ashley Richardson",95
10237,"2005-08-01 02:07:32",19958,5.99,23,"China",313,"Donald Mahon",95
13077,"2005-08-19 10:15:19",24907,2.99,23,"China",241,"Heidi Larson",96
2082,"2005-06-17 17:13:32",19455,2.99,15,"Brazil",254,"Maxine Silva",96
12815,"2005-08-19 00:59:42",22531,4.99,23,"China",588,"Marion Ocampo",96
8131,"2005-07-28 19:55:21",25300,0.99,23,"China",281,"Leona Obrien",97
15994,"2005-08-23 20:29:10",22585,0.99,23,"China",595,"Terrence Gunderson",97
6320,"2005-07-11 18:50:55",27920,0.99,23,"China",511,"Chester Benner",97
3203,"2005-06-21 00:34:56",19113,8.99,103,"United States",158,"Veronica Stone",98
8697,"2005-07-29 16:46:07",25431,4.99,103,"United States",291,"Toni Holt",98
9315,"2005-07-30 17:05:29",30068,4.99,103,"United States",96,"Diana Alexander",98
10745,"2005-08-01 19:57:06",19909,2.99,15,"Brazil",307,"Joseph Joy",99
7883,"2005-07-28 10:37:20",28090,2.99,103,"United States",526,"Karl Seal",99
3435,"2005-06-21 19:14:58",18440,4.99,15,"Brazil",591,"Kent Arsenault",100
12171,"2005-08-18 01:06:13",21323,4.99,103,"United States",457,"Bill Gavin",100
3429,"2005-06-21 18:46:05",18467,6.99,23,"China",599,"Austin Cintron",100
1648,"2005-06-16 09:17:07",17829,5.99,15,"Brazil",427,"Jesus Mccartney",101
5866,"2005-07-10 18:35:14",27603,6.99,23,"China",484,"Roberto Vu",101
4952,"2005-07-08 23:00:07",29143,0.99,103,"United States",14,"Betty White",101
8874,"2005-07-30 00:14:45",28481,0.99,23,"China",564,"Bob Pfeiffer",101
4971,"2005-07-08 23:54:49",29694,5.99,23,"China",64,"Judith Cox",101
15390,"2005-08-22 22:57:25",22204,6.99,15,"Brazil",551,"Clayton Barbee",101
3587,"2005-07-06 04:27:52",30235,4.99,23,"China",110,"Tiffany Jordan",101
7081,"2005-07-27 04:25:59",26904,2.99,103,"United States",420,"Jacob Lance",101
11521,"2005-08-17 00:04:54",24795,4.99,15,"Brazil",229,"Tamara Nguyen",102
5011,"2005-07-09 01:44:40",31726,4.99,23,"China",249,"Dora Medina",102
10464,"2005-08-01 09:43:14",21044,5.99,15,"Brazil",427,"Jesus Mccartney",102
2087,"2005-06-17 17:35:10",17736,6.99,15,"Brazil",398,"Antonio Meek",103
16026,"2005-08-23 21:49:22",21599,4.99,23,"China",484,"Roberto Vu",103
13118,"2005-08-19 11:39:58",24430,4.99,103,"United States",181,"Ana Bradley",103
3862,"2005-07-06 17:35:22",31052,6.99,103,"United States",181,"Ana Bradley",103
9765,"2005-07-31 09:44:40",28350,4.99,15,"Brazil",551,"Clayton Barbee",103
3493,"2005-07-05 23:46:19",30914,8.99,23,"China",169,"Erica Matthews",104
4252,"2005-07-07 14:13:05",30739,2.99,23,"China",154,"Michele Grant",104
11637,"2005-08-17 04:36:39",19688,0.99,23,"China",283,"Felicia Sutton",105
8366,"2005-07-29 05:11:14",29431,1.99,15,"Brazil",39,"Debra Nelson",105
6256,"2005-07-11 15:19:22",25631,0.99,15,"Brazil",307,"Joseph Joy",105
9059,"2005-07-30 07:18:44",26684,3.99,23,"China",267,"Margie Wade",105
8820,"2005-07-29 22:14:56",28850,5.99,23,"China",594,"Eduardo Hiatt",106
9146,"2005-07-30 10:32:08",25574,7.99,23,"China",302,"Michael Silverman",107
13128,"2005-08-19 12:04:16",22660,4.99,15,"Brazil",206,"Terri Vasquez",109
2877,"2005-06-20 01:07:16",19516,1.99,23,"China",267,"Margie Wade",109
7294,"2005-07-27 12:38:14",25690,0.99,23,"China",313,"Donald Mahon",109
5438,"2005-07-09 21:34:32",31642,4.99,23,"China",241,"Heidi Larson",109
2920,"2005-06-20 04:12:46",18427,3.99,23,"China",588,"Marion Ocampo",109
7376,"2005-07-27 15:23:02",29008,5.99,103,"United States",2,"Patricia Johnson",109
14653,"2005-08-21 19:35:59",22575,0.99,103,"United States",593,"Rene Mcalister",109
6384,"2005-07-11 22:07:26",25689,2.99,23,"China",313,"Donald Mahon",109
7728,"2005-07-28 04:56:33",30467,0.99,15,"Brazil",130,"Charlotte Hunter",109
10125,"2005-07-31 21:33:03",31027,0.99,15,"Brazil",178,"Marion Snyder",110
11921,"2005-08-17 16:12:27",21603,4.99,23,"China",485,"Clyde Tobias",110
12011,"2005-08-17 19:19:44",19961,2.99,23,"China",313,"Donald Mahon",110
14551,"2005-08-21 15:57:25",21931,3.99,23,"China",521,"Roland South",110
